"";BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R19XX.R.A.A._Z._Z.A;BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R19XX.R.A.A._Z._Z.A_FLAGS
2023-06;2,44;
2023-07;2,63;
2023-08;2,65;
2023-09;3,03;
2023-10;3,05;
2023-11;2,71;
2023-12;2,30;
2024-01;2,47;
2024-02;2,68;
2024-03;2,50;
2024-04;2,73;
2024-05;2,89;
2024-06;2,70;
2024-07;2,58;
2024-08;2,53;
2024-09;2,50;
2024-10;2,67;
2024-11;2,35;
