"";BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R25XX.R.A.A._Z._Z.A;BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R25XX.R.A.A._Z._Z.A_FLAGS
"";Zinsstrukturkurve (Svensson-Methode) / Börsennotierte Bundeswertpapiere / 25,0 Jahr(e) RLZ  / Monatswerte;
Dezimalstellen;2;
Dimension;Eins;
Einheit;Prozent;
Einheit (englisch);percent;
Format der Zeitangabe;P1M;
Kategorie;GKZR;
Stand vom;02.12.2024 09:57:51 Uhr;
2000-01;6,28;
2000-02;6,08;
2000-03;5,82;
2000-04;5,77;
2000-05;5,53;
2000-06;5,59;
2000-07;5,51;
2000-08;5,54;
2000-09;5,77;
2000-10;5,75;
2000-11;5,64;
2000-12;5,63;
2001-01;5,64;
2001-02;5,61;
2001-03;5,64;
2001-04;5,80;
2001-05;5,99;
2001-06;5,91;
2001-07;5,73;
2001-08;5,74;
2001-09;5,89;
2001-10;5,48;
2001-11;5,38;
2001-12;5,57;
2002-01;5,45;
2002-02;5,54;
2002-03;5,78;
2002-04;5,75;
2002-05;5,68;
2002-06;5,49;
2002-07;5,48;
2002-08;5,26;
2002-09;5,20;
2002-10;5,46;
2002-11;5,36;
2002-12;5,16;
2003-01;4,99;
2003-02;5,08;
2003-03;5,20;
2003-04;5,21;
2003-05;4,86;
2003-06;5,07;
2003-07;5,24;
2003-08;5,15;
2003-09;5,15;
2003-10;5,31;
2003-11;5,30;
2003-12;5,19;
2004-01;5,25;
2004-02;5,13;
2004-03;5,07;
2004-04;5,25;
2004-05;5,27;
2004-06;5,22;
2004-07;5,16;
2004-08;5,03;
2004-09;4,91;
2004-10;4,80;
2004-11;4,65;
2004-12;4,56;
2005-01;4,23;
2005-02;4,34;
2005-03;4,34;
2005-04;4,18;
2005-05;4,04;
2005-06;3,87;
2005-07;3,87;
2005-08;3,77;
2005-09;3,81;
2005-10;3,97;
2005-11;3,97;
2005-12;3,74;
2006-01;3,87;
2006-02;3,85;
2006-03;4,08;
2006-04;4,33;
2006-05;4,36;
2006-06;4,44;
2006-07;4,31;
2006-08;4,14;
2006-09;3,93;
2006-10;3,95;
2006-11;3,93;
2006-12;4,11;
2007-01;4,27;
2007-02;4,15;
2007-03;4,31;
2007-04;4,45;
2007-05;4,60;
2007-06;4,77;
2007-07;4,58;
2007-08;4,67;
2007-09;4,75;
2007-10;4,62;
2007-11;4,71;
2007-12;4,79;
2008-01;4,72;
2008-02;4,75;
2008-03;4,84;
2008-04;4,87;
2008-05;5,03;
2008-06;5,04;
2008-07;4,88;
2008-08;4,69;
2008-09;4,83;
2008-10;4,55;
2008-11;3,97;
2008-12;3,87;
2009-01;4,18;
2009-02;4,17;
2009-03;4,28;
2009-04;4,30;
2009-05;4,72;
2009-06;4,57;
2009-07;4,39;
2009-08;4,30;
2009-09;4,24;
2009-10;4,35;
2009-11;4,26;
2009-12;4,39;
2010-01;4,21;
2010-02;4,14;
2010-03;4,07;
2010-04;3,92;
2010-05;3,57;
2010-06;3,49;
2010-07;3,58;
2010-08;2,80;
2010-09;3,06;
2010-10;3,21;
2010-11;3,34;
2010-12;3,64;
2011-01;3,78;
2011-02;3,78;
2011-03;3,99;
2011-04;3,95;
2011-05;3,77;
2011-06;3,99;
2011-07;3,61;
2011-08;3,33;
2011-09;2,90;
2011-10;3,14;
2011-11;3,23;
2011-12;2,60;
2012-01;2,76;
2012-02;2,69;
2012-03;2,72;
2012-04;2,65;
2012-05;2,04;
2012-06;2,55;
2012-07;2,38;
2012-08;2,30;
2012-09;2,43;
2012-10;2,51;
2012-11;2,44;
2012-12;2,29;
2013-01;2,53;
2013-02;2,49;
2013-03;2,38;
2013-04;2,26;
2013-05;2,53;
2013-06;2,65;
2013-07;2,67;
2013-08;2,83;
2013-09;2,80;
2013-10;2,82;
2013-11;2,85;
2013-12;2,97;
2014-01;2,68;
2014-02;2,67;
2014-03;2,65;
2014-04;2,59;
2014-05;2,46;
2014-06;2,38;
2014-07;2,23;
2014-08;1,91;
2014-09;2,05;
2014-10;1,85;
2014-11;1,69;
2014-12;1,48;
2015-01;1,01;
2015-02;1,06;
2015-03;0,65;
2015-04;0,88;
2015-05;1,19;
2015-06;1,70;
2015-07;1,46;
2015-08;1,49;
2015-09;1,41;
2015-10;1,30;
2015-11;1,40;
2015-12;1,59;
2016-01;1,14;
2016-02;0,87;
2016-03;0,89;
2016-04;1,03;
2016-05;0,93;
2016-06;0,42;
2016-07;0,39;
2016-08;0,43;
2016-09;0,40;
2016-10;0,82;
2016-11;0,88;
2016-12;0,96;
2017-01;1,24;
2017-02;1,03;
2017-03;1,14;
2017-04;1,15;
2017-05;1,19;
2017-06;1,25;
2017-07;1,38;
2017-08;1,16;
2017-09;1,28;
2017-10;1,26;
2017-11;1,19;
2017-12;1,24;
2018-01;1,31;
2018-02;1,32;
2018-03;1,16;
2018-04;1,23;
2018-05;1,10;
2018-06;1,04;
2018-07;1,08;
2018-08;1,01;
2018-09;1,08;
2018-10;1,04;
2018-11;1,00;
2018-12;0,87;
2019-01;0,76;
2019-02;0,78;
2019-03;0,57;
2019-04;0,69;
2019-05;0,43;
2019-06;0,25;
2019-07;0,15;
2019-08;-0,23;
2019-09;-0,11;
2019-10;0,06;
2019-11;0,09;
2019-12;0,28;
2020-01;0,04;
2020-02;-0,21;
2020-03;-0,06;
2020-04;-0,13;
2020-05;-0,02;
2020-06;-0,08;
2020-07;-0,18;
2020-08;0,05;
2020-09;-0,17;
2020-10;-0,27;
2020-11;-0,22;
2020-12;-0,20;
2021-01;-0,12;
2021-02;0,16;
2021-03;0,25;
2021-04;0,31;
2021-05;0,35;
2021-06;0,26;
2021-07;-0,01;
2021-08;-0,01;
2021-09;0,19;
2021-10;0,10;
2021-11;-0,11;
2021-12;0,08;
2022-01;0,18;
2022-02;0,39;
2022-03;0,68;
2022-04;0,97;
2022-05;1,34;
2022-06;1,71;
2022-07;1,19;
2022-08;1,66;
2022-09;2,12;
2022-10;2,22;
2022-11;1,83;
2022-12;2,47;
2023-01;2,24;
2023-02;2,58;
2023-03;2,39;
2023-04;2,45;
2023-05;2,44;
2023-06;2,45;
2023-07;2,60;
2023-08;2,62;
2023-09;3,02;
2023-10;3,06;
2023-11;2,68;
2023-12;2,29;
2024-01;2,46;
2024-02;2,64;
2024-03;2,48;
2024-04;2,69;
2024-05;2,85;
2024-06;2,66;
2024-07;2,58;
2024-08;2,53;
2024-09;2,52;
2024-10;2,66;
2024-11;2,34;
