"";BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R24XX.R.A.A._Z._Z.A;BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R24XX.R.A.A._Z._Z.A_FLAGS
"";Zinsstrukturkurve (Svensson-Methode) / Börsennotierte Bundeswertpapiere / 24,0 Jahr(e) RLZ  / Monatswerte;
Dezimalstellen;2;
Dimension;Eins;
Einheit;Prozent;
Einheit (englisch);percent;
Format der Zeitangabe;P1M;
Kategorie;GKZR;
Stand vom;02.12.2024 09:57:51 Uhr;
2000-01;6,24;
2000-02;6,05;
2000-03;5,79;
2000-04;5,76;
2000-05;5,53;
2000-06;5,59;
2000-07;5,50;
2000-08;5,53;
2000-09;5,74;
2000-10;5,72;
2000-11;5,61;
2000-12;5,60;
2001-01;5,60;
2001-02;5,57;
2001-03;5,60;
2001-04;5,78;
2001-05;5,97;
2001-06;5,88;
2001-07;5,71;
2001-08;5,71;
2001-09;5,86;
2001-10;5,45;
2001-11;5,36;
2001-12;5,56;
2002-01;5,43;
2002-02;5,53;
2002-03;5,77;
2002-04;5,73;
2002-05;5,67;
2002-06;5,48;
2002-07;5,46;
2002-08;5,24;
2002-09;5,18;
2002-10;5,44;
2002-11;5,34;
2002-12;5,14;
2003-01;4,96;
2003-02;5,05;
2003-03;5,17;
2003-04;5,19;
2003-05;4,83;
2003-06;5,05;
2003-07;5,21;
2003-08;5,13;
2003-09;5,13;
2003-10;5,28;
2003-11;5,28;
2003-12;5,17;
2004-01;5,22;
2004-02;5,10;
2004-03;5,05;
2004-04;5,22;
2004-05;5,24;
2004-06;5,20;
2004-07;5,13;
2004-08;5,00;
2004-09;4,88;
2004-10;4,78;
2004-11;4,63;
2004-12;4,53;
2005-01;4,21;
2005-02;4,33;
2005-03;4,33;
2005-04;4,16;
2005-05;4,01;
2005-06;3,85;
2005-07;3,85;
2005-08;3,76;
2005-09;3,79;
2005-10;3,95;
2005-11;3,95;
2005-12;3,73;
2006-01;3,86;
2006-02;3,84;
2006-03;4,08;
2006-04;4,32;
2006-05;4,35;
2006-06;4,43;
2006-07;4,30;
2006-08;4,13;
2006-09;3,92;
2006-10;3,95;
2006-11;3,92;
2006-12;4,11;
2007-01;4,27;
2007-02;4,15;
2007-03;4,31;
2007-04;4,45;
2007-05;4,59;
2007-06;4,76;
2007-07;4,58;
2007-08;4,66;
2007-09;4,73;
2007-10;4,61;
2007-11;4,69;
2007-12;4,79;
2008-01;4,70;
2008-02;4,73;
2008-03;4,81;
2008-04;4,86;
2008-05;5,01;
2008-06;5,03;
2008-07;4,88;
2008-08;4,70;
2008-09;4,81;
2008-10;4,57;
2008-11;4,00;
2008-12;3,88;
2009-01;4,21;
2009-02;4,19;
2009-03;4,29;
2009-04;4,32;
2009-05;4,72;
