"";BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R15XX.R.A.A._Z._Z.A;BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R15XX.R.A.A._Z._Z.A_FLAGS
"";Zinsstrukturkurve (Svensson-Methode) / Börsennotierte Bundeswertpapiere / 15,0 Jahr(e) RLZ / Monatswerte;
Dezimalstellen;2;
Dimension;Eins;
Einheit;Prozent;
Einheit (englisch);percent;
Format der Zeitangabe;P1M;
Kategorie;GKZR;
Stand vom;02.12.2024 09:57:50 Uhr;
1986-06;6,26;
1986-07;6,25;
1986-08;6,06;
1986-09;6,49;
1986-10;6,77;
1986-11;6,35;
1986-12;6,39;
1987-01;6,41;
1987-02;6,63;
1987-03;6,22;
1987-04;6,25;
1987-05;6,34;
1987-06;6,84;
1987-07;7,07;
1987-08;7,20;
1987-09;7,55;
1987-10;7,07;
1987-11;7,09;
1987-12;7,27;
1988-01;7,52;
1988-02;7,12;
1988-03;7,18;
1988-04;7,38;
1988-05;7,59;
1988-06;7,49;
1988-07;7,52;
1988-08;7,42;
1988-09;7,18;
1988-10;6,95;
1988-11;7,09;
1988-12;7,02;
1989-01;6,98;
1989-02;7,11;
1989-03;7,15;
1989-04;6,98;
1989-05;7,08;
1989-06;6,87;
1989-07;6,71;
1989-08;6,88;
1989-09;6,99;
1989-10;7,08;
1989-11;7,22;
1989-12;7,22;
1990-01;7,61;
1990-02;8,38;
1990-03;8,25;
1990-04;8,79;
1990-05;8,64;
1990-06;8,55;
1990-07;8,43;
1990-08;8,82;
1990-09;8,95;
1990-10;8,80;
1990-11;8,54;
1990-12;9,09;
1991-01;8,26;
1991-02;8,06;
1991-03;8,16;
1991-04;8,00;
1991-05;7,97;
1991-06;8,17;
1991-07;8,35;
1991-08;8,06;
1991-09;8,01;
1991-10;7,89;
1991-11;7,75;
1991-12;7,61;
1992-01;7,46;
1992-02;7,50;
1992-03;7,47;
1992-04;7,70;
1992-05;7,68;
1992-06;7,78;
1992-07;7,76;
1992-08;7,60;
1992-09;7,22;
1992-10;7,23;
1992-11;7,16;
1992-12;7,12;
1993-01;7,04;
1993-02;6,89;
1993-03;6,98;
1993-04;7,00;
1993-05;7,06;
1993-06;6,90;
1993-07;6,76;
1993-08;6,42;
1993-09;6,48;
1993-10;6,29;
1993-11;6,33;
1993-12;6,20;
1994-01;6,25;
1994-02;6,79;
1994-03;6,99;
1994-04;7,26;
1994-05;7,59;
1994-06;7,50;
1994-07;7,48;
1994-08;7,77;
1994-09;7,99;
1994-10;7,97;
1994-11;7,76;
1994-12;7,92;
1995-01;7,75;
1995-02;7,67;
1995-03;7,80;
1995-04;7,64;
1995-05;7,32;
1995-06;7,64;
1995-07;7,51;
1995-08;7,44;
1995-09;7,51;
1995-10;7,30;
1995-11;7,06;
1995-12;6,88;
1996-01;6,71;
1996-02;7,26;
1996-03;7,28;
1996-04;7,15;
1996-05;7,33;
1996-06;7,32;
1996-07;7,13;
1996-08;7,24;
1996-09;6,93;
1996-10;6,84;
1996-11;6,60;
1996-12;6,69;
1997-01;6,67;
1997-02;6,25;
1997-03;6,68;
1997-04;6,64;
1997-05;6,77;
1997-06;6,48;
1997-07;6,19;
1997-08;6,35;
1997-09;6,09;
1997-10;6,14;
1997-11;5,99;
1997-12;5,79;
1998-01;5,53;
