"";BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R18XX.R.A.A._Z._Z.A;BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R18XX.R.A.A._Z._Z.A_FLAGS
"";Zinsstrukturkurve (Svensson-Methode) / Börsennotierte Bundeswertpapiere / 18,0 Jahr(e) RLZ / Monatswerte;
Dezimalstellen;2;
Dimension;Eins;
Einheit;Prozent;
Einheit (englisch);percent;
Format der Zeitangabe;P1M;
Kategorie;GKZR;
Stand vom;02.12.2024 09:57:50 Uhr;
1986-06;6,30;
1986-07;6,30;
1986-08;6,11;
1986-09;6,56;
1986-10;6,84;
1986-11;6,40;
1986-12;6,44;
1987-01;6,49;
1987-02;6,72;
1987-03;6,29;
1987-04;6,35;
1987-05;6,45;
1987-06;6,97;
1987-07;7,22;
1987-08;7,32;
1987-09;7,68;
1987-10;7,17;
1987-11;7,29;
1987-12;7,43;
1988-01;7,71;
1988-02;7,32;
1988-03;7,40;
1988-04;7,55;
1988-05;7,78;
1988-06;7,68;
1988-07;7,66;
1988-08;7,57;
1988-09;7,36;
1988-10;7,14;
1988-11;7,24;
1988-12;7,13;
1989-01;7,09;
1989-02;7,18;
1989-03;7,20;
1989-04;7,05;
1989-05;7,11;
1989-06;6,90;
1989-07;6,80;
1989-08;6,94;
1989-09;7,05;
1989-10;7,11;
1989-11;7,14;
1989-12;7,17;
1990-01;7,49;
1990-02;8,12;
1990-03;8,13;
1990-04;8,70;
1990-05;8,52;
1990-06;8,41;
1990-07;8,31;
1990-08;8,65;
1990-09;8,75;
1990-10;8,64;
1990-11;8,39;
1990-12;9,09;
1991-01;8,11;
1991-02;7,95;
1991-03;8,00;
1991-04;7,90;
1991-05;7,88;
1991-06;8,08;
1991-07;8,25;
1991-08;7,97;
1991-09;7,93;
1991-10;7,78;
1991-11;7,61;
1991-12;7,49;
1992-01;7,36;
1992-02;7,45;
1992-03;7,41;
1992-04;7,65;
1992-05;7,64;
1992-06;7,73;
1992-07;7,69;
1992-08;7,43;
1992-09;7,08;
1992-10;7,23;
1992-11;7,15;
1992-12;7,14;
1993-01;7,07;
1993-02;6,96;
1993-03;7,07;
1993-04;7,05;
1993-05;7,12;
1993-06;6,96;
1993-07;6,82;
1993-08;6,47;
1993-09;6,57;
1993-10;6,39;
1993-11;6,44;
1993-12;6,32;
1994-01;6,37;
1994-02;6,90;
1994-03;7,10;
1994-04;7,36;
1994-05;7,70;
1994-06;7,55;
1994-07;7,55;
1994-08;7,84;
1994-09;8,06;
1994-10;8,02;
1994-11;7,81;
1994-12;7,96;
1995-01;7,79;
1995-02;7,72;
1995-03;7,91;
1995-04;7,73;
1995-05;7,44;
1995-06;7,72;
1995-07;7,62;
1995-08;7,56;
1995-09;7,65;
1995-10;7,46;
1995-11;7,19;
1995-12;7,04;
1996-01;6,87;
1996-02;7,42;
1996-03;7,44;
1996-04;7,31;
1996-05;7,50;
1996-06;7,46;
1996-07;7,27;
1996-08;7,40;
1996-09;7,09;
1996-10;6,99;
1996-11;6,77;
1996-12;6,86;
1997-01;6,83;
1997-02;6,41;
1997-03;6,85;
1997-04;6,82;
1997-05;6,95;
1997-06;6,65;
1997-07;6,32;
1997-08;6,49;
1997-09;6,22;
1997-10;6,28;
1997-11;6,10;
1997-12;5,90;
1998-01;5,65;
1998-02;5,50;
1998-03;5,47;
1998-04;5,60;
1998-05;5,43;
1998-06;5,32;
1998-07;5,22;
1998-08;4,98;
1998-09;4,78;
1998-10;5,05;
1998-11;4,77;
1998-12;4,76;
1999-01;4,48;
1999-02;4,88;
1999-03;4,97;
1999-04;4,81;
1999-05;5,11;
1999-06;5,37;
1999-07;5,52;
1999-08;5,71;
1999-09;5,84;
1999-10;5,77;
1999-11;5,76;
1999-12;5,92;
2000-01;6,03;
2000-02;5,88;
2000-03;5,61;
2000-04;5,69;
2000-05;5,49;
2000-06;5,52;
2000-07;5,45;
2000-08;5,45;
2000-09;5,55;
2000-10;5,55;
2000-11;5,45;
2000-12;5,36;
2001-01;5,36;
2001-02;5,29;
2001-03;5,35;
2001-04;5,58;
2001-05;5,80;
2001-06;5,71;
2001-07;5,55;
2001-08;5,50;
2001-09;5,63;
2001-10;5,21;
2001-11;5,20;
2001-12;5,45;
2002-01;5,35;
2002-02;5,40;
2002-03;5,65;
2002-04;5,57;
2002-05;5,57;
2002-06;5,38;
2002-07;5,34;
2002-08;5,09;
2002-09;4,99;
2002-10;5,25;
2002-11;5,19;
2002-12;4,95;
2003-01;4,77;
2003-02;4,83;
2003-03;4,93;
2003-04;4,98;
2003-05;4,60;
2003-06;4,80;
2003-07;4,96;
2003-08;4,92;
2003-09;4,91;
2003-10;5,09;
2003-11;5,11;
2003-12;5,00;
2004-01;5,04;
2004-02;4,89;
2004-03;4,83;
2004-04;5,01;
2004-05;5,05;
2004-06;5,01;
2004-07;4,93;
2004-08;4,77;
2004-09;4,68;
2004-10;4,58;
2004-11;4,45;
2004-12;4,33;
2005-01;4,07;
2005-02;4,19;
2005-03;4,21;
2005-04;3,99;
2005-05;3,84;
2005-06;3,70;
2005-07;3,69;
2005-08;3,63;
2005-09;3,65;
2005-10;3,83;
2005-11;3,81;
2005-12;3,61;
2006-01;3,78;
2006-02;3,77;
2006-03;4,02;
2006-04;4,26;
2006-05;4,27;
2006-06;4,37;
2006-07;4,22;
2006-08;4,06;
2006-09;3,87;
2006-10;3,92;
2006-11;3,88;
2006-12;4,08;
2007-01;4,24;
2007-02;4,11;
2007-03;4,25;
2007-04;4,40;
2007-05;4,55;
2007-06;4,72;
2007-07;4,53;
2007-08;4,57;
2007-09;4,64;
2007-10;4,51;
2007-11;4,55;
2007-12;4,73;
2008-01;4,54;
2008-02;4,57;
2008-03;4,60;
2008-04;4,71;
2008-05;4,87;
2008-06;4,94;
2008-07;4,84;
2008-08;4,65;
2008-09;4,67;
2008-10;4,56;
2008-11;4,04;
2008-12;3,85;
2009-01;4,25;
2009-02;4,21;
2009-03;4,21;
2009-04;4,32;
2009-05;4,64;
2009-06;4,47;
2009-07;4,30;
2009-08;4,13;
2009-09;4,11;
2009-10;4,26;
2009-11;4,13;
2009-12;4,32;
2010-01;4,14;
2010-02;4,09;
2010-03;4,01;
2010-04;3,87;
2010-05;3,51;
2010-06;3,45;
2010-07;3,54;
2010-08;2,79;
2010-09;3,02;
2010-10;3,24;
2010-11;3,41;
2010-12;3,72;
2011-01;3,82;
2011-02;3,82;
2011-03;4,00;
2011-04;3,92;
2011-05;3,73;
2011-06;3,87;
2011-07;3,53;
2011-08;3,13;
2011-09;2,80;
2011-10;3,10;
2011-11;3,24;
2011-12;2,67;
2012-01;2,78;
2012-02;2,72;
2012-03;2,75;
2012-04;2,64;
2012-05;2,06;
2012-06;2,52;
2012-07;2,28;
2012-08;2,23;
2012-09;2,35;
2012-10;2,41;
2012-11;2,33;
2012-12;2,20;
2013-01;2,41;
2013-02;2,40;
2013-03;2,25;
2013-04;2,12;
2013-05;2,41;
2013-06;2,57;
2013-07;2,60;
2013-08;2,76;
2013-09;2,72;
2013-10;2,70;
2013-11;2,76;
2013-12;2,92;
2014-01;2,61;
2014-02;2,56;
2014-03;2,53;
2014-04;2,47;
2014-05;2,32;
2014-06;2,22;
2014-07;2,07;
2014-08;1,73;
2014-09;1,85;
2014-10;1,58;
2014-11;1,42;
2014-12;1,23;
2015-01;0,82;
2015-02;0,88;
2015-03;0,53;
2015-04;0,72;
2015-05;1,07;
2015-06;1,55;
2015-07;1,30;
2015-08;1,35;
2015-09;1,25;
2015-10;1,14;
2015-11;1,21;
2015-12;1,41;
2016-01;0,98;
2016-02;0,70;
2016-03;0,70;
2016-04;0,81;
2016-05;0,71;
2016-06;0,26;
2016-07;0,23;
2016-08;0,26;
2016-09;0,23;
2016-10;0,62;
2016-11;0,76;
2016-12;0,76;
2017-01;1,03;
2017-02;0,80;
2017-03;0,92;
2017-04;0,92;
2017-05;0,95;
2017-06;1,03;
2017-07;1,17;
2017-08;0,94;
2017-09;1,05;
2017-10;1,05;
2017-11;1,00;
2017-12;1,02;
2018-01;1,14;
2018-02;1,17;
2018-03;0,99;
2018-04;1,06;
2018-05;0,92;
2018-06;0,86;
2018-07;0,90;
2018-08;0,83;
2018-09;0,92;
2018-10;0,86;
2018-11;0,81;
2018-12;0,69;
2019-01;0,58;
2019-02;0,60;
2019-03;0,37;
2019-04;0,49;
2019-05;0,24;
2019-06;0,08;
2019-07;-0,04;
2019-08;-0,39;
2019-09;-0,28;
2019-10;-0,11;
2019-11;-0,07;
2019-12;0,13;
2020-01;-0,11;
2020-02;-0,35;
2020-03;-0,20;
2020-04;-0,25;
2020-05;-0,14;
2020-06;-0,21;
2020-07;-0,31;
2020-08;-0,09;
2020-09;-0,30;
2020-10;-0,38;
2020-11;-0,34;
2020-12;-0,32;
2021-01;-0,26;
2021-02;0,03;
2021-03;0,10;
2021-04;0,15;
2021-05;0,20;
2021-06;0,12;
2021-07;-0,15;
2021-08;-0,15;
2021-09;0,07;
2021-10;0,04;
2021-11;-0,19;
2021-12;-0,01;
2022-01;0,11;
2022-02;0,32;
2022-03;0,65;
2022-04;0,89;
2022-05;1,31;
2022-06;1,71;
2022-07;1,16;
2022-08;1,69;
2022-09;2,18;
2022-10;2,28;
2022-11;1,92;
2022-12;2,57;
2023-01;2,34;
2023-02;2,67;
2023-03;2,44;
2023-04;2,43;
2023-05;2,45;
2023-06;2,44;
2023-07;2,63;
2023-08;2,65;
2023-09;3,02;
2023-10;3,04;
2023-11;2,71;
2023-12;2,30;
2024-01;2,46;
2024-02;2,67;
2024-03;2,50;
2024-04;2,73;
2024-05;2,89;
2024-06;2,69;
2024-07;2,57;
2024-08;2,52;
2024-09;2,48;
2024-10;2,66;
2024-11;2,34;
