"";BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R23XX.R.A.A._Z._Z.A;BBSIS.M.I.ZST.ZI.EUR.S1311.B.A604.R23XX.R.A.A._Z._Z.A_FLAGS
"";Zinsstrukturkurve (Svensson-Methode) / Börsennotierte Bundeswertpapiere / 23,0 Jahr(e) RLZ  / Monatswerte;
Dezimalstellen;2;
Dimension;Eins;
Einheit;Prozent;
Einheit (englisch);percent;
Format der Zeitangabe;P1M;
Kategorie;GKZR;
Stand vom;02.12.2024 09:57:51 Uhr;
2000-01;6,21;
2000-02;6,02;
2000-03;5,76;
2000-04;5,75;
2000-05;5,52;
2000-06;5,58;
2000-07;5,49;
2000-08;5,51;
2000-09;5,71;
2000-10;5,70;
2000-11;5,59;
2000-12;5,56;
2001-01;5,57;
2001-02;5,53;
2001-03;5,57;
2001-04;5,75;
2001-05;5,95;
2001-06;5,86;
2001-07;5,69;
2001-08;5,69;
2001-09;5,83;
2001-10;5,42;
2001-11;5,34;
2001-12;5,54;
2002-01;5,42;
2002-02;5,51;
2002-03;5,75;
2002-04;5,71;
2002-05;5,66;
2002-06;5,46;
2002-07;5,45;
2002-08;5,22;
2002-09;5,15;
2002-10;5,41;
2002-11;5,32;
2002-12;5,11;
2003-01;4,94;
2003-02;5,02;
2003-03;5,14;
2003-04;5,16;
2003-05;4,80;
2003-06;5,01;
2003-07;5,18;
2003-08;5,10;
2003-09;5,10;
2003-10;5,26;
2003-11;5,26;
2003-12;5,15;
2004-01;5,20;
2004-02;5,07;
2004-03;5,02;
2004-04;5,20;
2004-05;5,22;
2004-06;5,17;
2004-07;5,10;
2004-08;4,96;
2004-09;4,85;
2004-10;4,75;
2004-11;4,61;
2004-12;4,50;
2005-01;4,20;
2005-02;4,31;
2005-03;4,31;
2005-04;4,14;
2005-05;3,99;
2005-06;3,83;
2005-07;3,83;
2005-08;3,74;
2005-09;3,77;
2005-10;3,94;
2005-11;3,93;
2005-12;3,71;
2006-01;3,85;
2006-02;3,83;
2006-03;4,07;
2006-04;4,31;
2006-05;4,34;
2006-06;4,42;
2006-07;4,29;
2006-08;4,12;
2006-09;3,92;
2006-10;3,94;
2006-11;3,92;
2006-12;4,11;
2007-01;4,26;
2007-02;4,14;
2007-03;4,30;
2007-04;4,44;
2007-05;4,59;
2007-06;4,76;
2007-07;4,57;
2007-08;4,65;
2007-09;4,72;
2007-10;4,59;
2007-11;4,67;
2007-12;4,78;
2008-01;4,68;
2008-02;4,71;
2008-03;4,78;
2008-04;4,84;
2008-05;4,99;
2008-06;5,01;
2008-07;4,88;
2008-08;4,70;
2008-09;4,79;
2008-10;4,58;
2008-11;4,02;
2008-12;3,89;
2009-01;4,23;
2009-02;4,21;
2009-03;4,30;
2009-04;4,34;
2009-05;4,73;
2009-06;4,57;
2009-07;4,39;
2009-08;4,27;
2009-09;4,23;
2009-10;4,35;
2009-11;4,25;
2009-12;4,40;
2010-01;4,22;
2010-02;4,15;
2010-03;4,07;
2010-04;3,93;
2010-05;3,57;
2010-06;3,49;
2010-07;3,59;
2010-08;2,82;
2010-09;3,07;
2010-10;3,24;
2010-11;3,37;
