"date","sim_l2","sim_l1","sim_s2","sim_s1","eu_index_l2","eu_index_l1","us_index_l2","us_index_l1","eu_index_s2","eu_index_s1","us_index_s2","us_index_s1"
1990-01-23,82.7767365483744,91.0751545080909,117.475168511142,108.200880574046,82.798,91.35249,84.42334,92.20003,120.31514,110.09186,118.6335,109.27239
1990-01-24,80.7593066129803,89.9627339762937,117.542957018028,107.807130671741,80.78101,90.25031,83.71766,91.82599,123.28515,111.46249,119.66883,109.76178
1990-01-25,79.3542693792363,89.1791461773299,121.086310499143,109.666171905024,79.37653,89.47587,81.57675,90.66291,125.46783,112.46085,122.77035,111.19654
1990-01-26,78.864178287983,88.9016945798884,121.099118785054,109.565326911645,78.88722,89.21007,81.42081,90.58717,126.28228,112.83757,123.04992,111.3357
1990-01-27,78.2820054710198,88.5712513596203,120.968504431972,109.35593896313,78.30579,88.8912,81.29654,90.52894,127.25369,113.28323,123.28274,111.4536
1990-01-28,77.5594188338794,88.1597593967654,120.657555079317,109.004307877674,77.58389,88.49125,81.20293,90.48772,128.46708,113.83496,123.46979,111.55073
1990-01-29,76.6442397591245,87.6366019598154,120.269571915913,108.560113718994,76.66932,87.97938,81.0743,90.42695,130.02138,114.53521,123.71053,111.67207
1990-01-30,75.2922749177995,86.8613439153276,121.745175549915,109.133297848961,75.3178,87.21318,79.94936,89.81046,132.35101,115.57248,125.47055,112.47903
1990-01-31,78.3285739684771,88.6067210293204,117.331633007801,107.232284877539,78.356,88.97823,82.96673,91.51607,127.02941,113.25612,120.77823,110.38853
1990-02-01,79.3398931016854,89.1752920063944,118.4736998668,108.162571792607,79.36858,89.56345,82.80436,91.43755,125.42925,112.55502,121.05882,110.52923
1990-02-02,80.5437193540333,89.8498808988858,117.121737829386,107.617855192329,80.57376,90.25366,83.86943,92.0366,123.56464,111.7304,119.54384,109.85009
1990-02-03,80.4297594306666,89.7854467496166,116.557823821267,107.25176726587,80.46069,90.20063,84.11886,92.18453,123.7805,111.83991,119.23176,109.71908
1990-02-04,80.1293038568588,89.6164361008484,116.06333623657,106.88618935086,80.16105,90.04298,84.27151,92.27925,124.28375,112.0792,119.05883,109.65189
1990-02-05,79.7242866678371,89.3883845708019,115.757123410657,106.612537791928,79.7568,89.82622,84.29677,92.30416,124.95275,112.39283,119.06655,109.66779
1990-02-06,78.0184993525169,88.4303623497713,116.876525465145,106.924207295045,78.05124,88.87609,83.16558,91.69589,127.66555,113.62494,120.70597,110.4351
1990-02-07,79.6550893177854,89.3567740110273,113.803425891693,105.428806212558,79.68942,89.81896,85.22631,92.84296,125.02668,112.46279,117.75585,109.09799
1990-02-08,80.6942792420828,89.9362818365845,115.432539988024,106.667910667164,80.72998,90.41566,84.80548,92.62488,123.43446,111.75872,118.37994,109.39936
1990-02-09,81.2449913608702,90.2410551743152,115.205212016041,106.653436003641,81.28187,90.73508,85.1279,92.81206,122.63167,111.40724,117.97265,109.22347
1990-02-10,80.7018972597073,89.9377829125167,115.73428462881,106.865538971356,80.73947,90.44272,84.69623,92.58787,123.49135,111.80965,118.61357,109.53244
1990-02-11,79.4028177329118,89.2121598311596,116.880928651332,107.289197671358,79.44072,89.72565,83.69848,92.05363,125.51832,112.73924,120.05276,110.20926
1990-02-12,78.8684035156127,88.9102577869046,117.413799439527,107.499352969457,78.90697,89.43452,83.2746,91.83157,126.40413,113.14915,120.7042,110.52067
1990-02-13,79.8969774064402,89.4870706134994,117.23659415323,107.628828656738,79.93696,90.0285,83.73636,92.09719,124.795,112.44109,120.07823,110.24652
1990-02-14,80.0675669807444,89.5818912350053,116.377860378166,107.146425194862,80.10856,90.13542,84.2248,92.37685,124.56991,112.3517,119.42086,109.95715
1990-02-15,82.0314644599625,90.6787617152581,114.814440019715,106.629599977033,82.07439,91.25161,85.68041,93.18632,121.55201,111.00268,117.39845,109.03861
1990-02-16,80.9030851267179,90.0534720398985,116.331055966996,107.32875105299,80.94637,90.63486,84.5512,92.5834,123.26184,111.79511,118.98679,109.78846
1990-02-17,80.1284928107694,89.6207312865376,117.568532336228,107.923183852902,80.1723,90.21172,83.70043,92.12869,124.4808,112.35967,120.22622,110.37259
1990-02-18,79.5039664651398,89.2699199233531,118.670682422556,108.462047639485,79.54836,89.87088,82.97863,91.74248,125.49048,112.82719,121.30586,110.88055
1990-02-19,78.8578966574161,88.905276197296,119.417798738722,108.774761757903,78.90285,89.51635,82.42337,91.44651,126.54994,113.31533,122.16114,111.28387
1990-02-20,78.1178254477371,88.4856828547,119.617899497507,108.730286550157,78.16327,89.10685,82.09055,91.27288,127.77717,113.87665,122.69895,111.5414
1990-02-21,77.2792287637312,88.0082596745372,119.400055480145,108.407817178963,77.32509,88.63929,81.91398,91.18592,129.18966,114.51823,123.00886,111.69511
1990-02-22,76.1310753009609,87.3526011779746,120.742025272227,108.956194521256,76.17715,87.99122,80.91095,90.63867,131.14833,115.39824,124.55892,112.41153
1990-02-23,76.1811034755247,87.3802635973151,122.59466482982,110.08753529247,76.22809,88.02992,80.12342,90.20848,131.10114,115.38878,125.81591,112.99144
1990-02-24,77.0255804862877,87.861817226275,121.75640078957,109.79329031649,77.07397,88.52787,80.80072,90.60064,129.68561,114.77746,124.79721,112.54677
1990-02-25,78.2798406002172,88.5743495821582,121.049583328835,109.670572541282,78.32991,89.25899,81.56638,91.04081,127.61213,113.87181,123.65893,112.04622
1990-02-26,79.1677662039431,89.0745586768709,120.056443984702,109.282541331488,79.21931,89.77591,82.33776,91.48231,126.20429,113.25582,122.53355,111.54908
1990-02-27,79.7070283530761,89.3770323515409,118.787451305914,108.64150886991,79.75984,90.09269,83.12441,91.93037,125.38638,112.9012,121.40646,111.04869
1990-02-28,81.0505451680269,90.1281009910083,118.083511947811,108.521965170276,81.10517,90.86318,83.93492,92.38968,123.31349,111.98049,120.26596,110.5397
1990-03-01,83.2608769156436,91.3533533180563,118.84198887584,109.483678962315,83.31793,92.11332,84.35165,92.63024,119.98936,110.48345,119.71272,110.29802
1990-03-02,84.9369542286401,92.2712711279086,117.083059716592,108.775660093075,84.99612,93.05157,85.76554,93.41775,117.61097,109.40034,117.74742,109.40514
1990-03-03,85.2888954673689,92.4608114014198,117.910102563857,109.367534757248,85.34929,93.25559,85.50056,93.28473,117.16249,109.20352,118.15439,109.60661
1990-03-04,85.5483140771516,92.6002299164431,119.033329352536,110.122272640451,85.60988,93.40871,85.06565,93.05874,116.84508,109.06734,118.79855,109.9178
1990-03-05,85.5867057410277,92.6200167262278,119.6692137004,110.52751113642,85.64929,93.44095,84.79553,92.92219,116.83188,109.07291,119.21915,110.12479
1990-03-06,84.9810774363656,92.2933064191934,114.85603911296,107.439486804036,85.04421,93.12161,86.92181,94.09837,117.69665,109.48826,116.26993,108.77505
1990-03-07,85.3634891811846,92.499459529296,116.195320171685,108.359824455276,85.42789,93.34231,86.39927,93.82706,117.20548,109.2715,117.01207,109.13472
1990-03-08,86.0366827024399,92.8642292701977,113.286765568944,106.699498638274,86.10258,93.72158,88.09722,94.7604,116.31849,108.8697,114.75277,108.09353
1990-03-09,85.5423149402915,92.5972011605531,115.385393089167,107.920247354659,85.60883,93.46363,86.86581,94.10959,117.02521,109.21215,116.39747,108.88043
1990-03-10,85.7420489383811,92.7040889113979,115.408232694221,107.981099128643,85.80971,93.58408,86.9419,94.16221,116.79119,109.11473,116.33836,108.86515
1990-03-11,86.2896038303941,92.9979563185424,115.456058758583,108.130133290555,86.35869,93.89427,87.12201,94.27114,116.08357,108.79597,116.14011,108.78475
1990-03-12,86.4902638031449,93.1049048395959,115.476193654259,108.189263370584,86.56051,94.01484,87.19943,94.32442,115.85282,108.69965,116.0796,108.76876
1990-03-13,85.8608433016795,92.7659532988441,117.877922288444,109.563486958159,85.93158,93.68426,85.80472,93.58143,116.73444,109.12508,117.97675,109.66985
1990-03-14,85.7808148034815,92.7222225000867,116.977869197017,108.99378623839,85.85248,93.65198,86.23582,93.82774,116.88277,109.20622,117.42644,109.42641
1990-03-15,85.5139442447616,92.5775142603049,115.617192006555,108.097106014607,85.58638,93.51756,86.83795,94.16667,117.28513,109.40585,116.64895,109.07657
1990-03-16,86.7942193351193,93.2696310844589,112.601699096285,106.492446466923,86.86873,94.22884,88.80717,95.24569,115.56535,108.61542,114.04318,107.87054
1990-03-17,87.0121969318828,93.3857793625985,112.034522278245,106.18411473189,87.0879,94.35849,89.20033,95.46796,115.31343,108.50866,113.57949,107.66339
1990-03-18,87.136600885694,93.4515800423896,111.58136853344,105.927760930405,87.21342,94.43735,89.50406,95.64196,115.18713,108.46089,113.2339,107.51172
