Datum,Feiertag
26.12.1989,Zweiter Weihnachtstag
31.12.1989,Silvester
01.01.1990,Neujahrstag
13.04.1990,Karfreitag
16.04.1990,Ostermontag
01.05.1990,Tag der Arbeit
24.05.1990,Christi Himmelfahrt
04.06.1990,Pfingstmontag
03.10.1990,Tag der Deutschen Einheit
24.12.1990,Heiligabend
25.12.1990,Erster Weihnachtstag
26.12.1990,Zweiter Weihnachtstag
31.12.1990,Silvester
01.01.1991,Neujahrstag
29.03.1991,Karfreitag
01.04.1991,Ostermontag
01.05.1991,Tag der Arbeit
09.05.1991,Christi Himmelfahrt
20.05.1991,Pfingstmontag
03.10.1991,Tag der Deutschen Einheit
24.12.1991,Heiligabend
25.12.1991,Erster Weihnachtstag
26.12.1991,Zweiter Weihnachtstag
31.12.1991,Silvester
01.01.1992,Neujahrstag
17.04.1992,Karfreitag
20.04.1992,Ostermontag
01.05.1992,Tag der Arbeit
28.05.1992,Christi Himmelfahrt
08.06.1992,Pfingstmontag
03.10.1992,Tag der Deutschen Einheit
24.12.1992,Heiligabend
25.12.1992,Erster Weihnachtstag
26.12.1992,Zweiter Weihnachtstag
31.12.1992,Silvester
01.01.1993,Neujahrstag
09.04.1993,Karfreitag
12.04.1993,Ostermontag
01.05.1993,Tag der Arbeit
20.05.1993,Christi Himmelfahrt
31.05.1993,Pfingstmontag
03.10.1993,Tag der Deutschen Einheit
24.12.1993,Heiligabend
25.12.1993,Erster Weihnachtstag
26.12.1993,Zweiter Weihnachtstag
31.12.1993,Silvester
01.01.1994,Neujahrstag
01.04.1994,Karfreitag
04.04.1994,Ostermontag
01.05.1994,Tag der Arbeit
12.05.1994,Christi Himmelfahrt
23.05.1994,Pfingstmontag
03.10.1994,Tag der Deutschen Einheit
24.12.1994,Heiligabend
25.12.1994,Erster Weihnachtstag
26.12.1994,Zweiter Weihnachtstag
31.12.1994,Silvester
01.01.1995,Neujahrstag
14.04.1995,Karfreitag
17.04.1995,Ostermontag
01.05.1995,Tag der Arbeit
25.05.1995,Christi Himmelfahrt
05.06.1995,Pfingstmontag
03.10.1995,Tag der Deutschen Einheit
24.12.1995,Heiligabend
25.12.1995,Erster Weihnachtstag
26.12.1995,Zweiter Weihnachtstag
31.12.1995,Silvester
01.01.1996,Neujahrstag
05.04.1996,Karfreitag
08.04.1996,Ostermontag
01.05.1996,Tag der Arbeit
16.05.1996,Christi Himmelfahrt
27.05.1996,Pfingstmontag
03.10.1996,Tag der Deutschen Einheit
24.12.1996,Heiligabend
25.12.1996,Erster Weihnachtstag
26.12.1996,Zweiter Weihnachtstag
31.12.1996,Silvester
01.01.1997,Neujahrstag
28.03.1997,Karfreitag
31.03.1997,Ostermontag
01.05.1997,Tag der Arbeit
08.05.1997,Christi Himmelfahrt
19.05.1997,Pfingstmontag
03.10.1997,Tag der Deutschen Einheit
24.12.1997,Heiligabend
25.12.1997,Erster Weihnachtstag
26.12.1997,Zweiter Weihnachtstag
31.12.1997,Silvester
01.01.1998,Neujahrstag
10.04.1998,Karfreitag
13.04.1998,Ostermontag
01.05.1998,Tag der Arbeit
21.05.1998,Christi Himmelfahrt
01.06.1998,Pfingstmontag
03.10.1998,Tag der Deutschen Einheit
24.12.1998,Heiligabend
25.12.1998,Erster Weihnachtstag
26.12.1998,Zweiter Weihnachtstag
31.12.1998,Silvester
01.01.1999,Neujahrstag
02.04.1999,Karfreitag
05.04.1999,Ostermontag
01.05.1999,Tag der Arbeit
13.05.1999,Christi Himmelfahrt
24.05.1999,Pfingstmontag
03.10.1999,Tag der Deutschen Einheit
24.12.1999,Heiligabend
25.12.1999,Erster Weihnachtstag
26.12.1999,Zweiter Weihnachtstag
31.12.1999,Silvester
01.01.2000,Neujahrstag
21.04.2000,Karfreitag
24.04.2000,Ostermontag
01.05.2000,Tag der Arbeit
01.06.2000,Christi Himmelfahrt
12.06.2000,Pfingstmontag
03.10.2000,Tag der Deutschen Einheit
24.12.2000,Heiligabend
